"","sample","log_conc_truesoil","acronym"
"1",308,8.38019298651907,"16S"
"2",403,9.23151627389731,"16S"
"3",410,8.61604865568241,"16S"
"4",417,8.02890354729931,"16S"
"5",424,8.47104818649529,"16S"
"6",643,9.78435180322521,"16S"
"7",205,7.69476096211843,"16S"
"8",212,8.60901966627513,"16S"
"9",219,8.63599910272441,"16S"
"10",226,9.23413448646428,"16S"
"11",631,9.61931049994451,"16S"
"12",645,9.3448694826497,"16S"
"13",429,8.83524816994501,"16S"
"14",436,9.11183961917826,"16S"
"15",443,9.26646991795926,"16S"
"16",450,9.40469313281191,"16S"
"17",642,9.61638978189681,"16S"
"18",230,8.89382642962041,"16S"
"19",237,9.18862745572041,"16S"
"20",744,9.24035127005026,"16S"
"21",251,9.73993996481275,"16S"
"22",535,9.16128793616482,"16S"
"23",202,8.72060081854289,"16S"
"24",209,6.82772220031005,"16S"
"25",216,8.09232508801005,"16S"
"26",223,8.65684959186428,"16S"
"27",307,9.24585095661907,"16S"
"28",314,8.8838600009145,"16S"
"29",321,9.07977174814536,"16S"
"30",328,9.13907843944536,"16S"
"31",334,9.31847896561781,"16S"
"32",341,8.19398584534816,"16S"
"33",348,9.37005028704206,"16S"
"34",355,9.19657947103165,"16S"
"35",509,8.78561381242529,"16S"
"36",529,8.99348368140874,"16S"
"37",536,9.45188202570713,"16S"
"38",543,9.48084743807865,"16S"
"39",550,9.55865173713063,"16S"
"40",326,9.27613058584536,"16S"
"41",523,8.98973959523002,"16S"
"42",431,8.88546928222886,"16S"
"43",531,9.10390190837573,"16S"
"44",538,9.18256513745529,"16S"
"45",545,9.35059676782551,"16S"
"46",552,9.60723951323836,"16S"
"47",632,9.51013910996666,"16S"
"48",534,9.56166694622149,"16S"
"49",541,9.40877358775227,"16S"
"50",548,9.53737724327185,"16S"
"51",555,9.64518942344053,"16S"
"52",422,8.20799378760689,"16S"
"53",734,9.54183564750963,"16S"
"54",741,9.5075563117248,"16S"
"55",704,9.23350102650604,"16S"
"56",711,9.32679430914825,"16S"
"57",718,9.11528123530679,"16S"
"58",725,8.69687223330019,"16S"
"59",617,9.36333581041456,"16S"
"60",335,9.10741497063876,"16S"
"61",342,9.47039423005671,"16S"
"62",349,9.42247432522631,"16S"
"63",356,9.22462884069241,"16S"
"64",726,8.54538594515884,"16S"
"65",203,8.20194928506428,"16S"
"66",210,8.30696159461005,"16S"
"67",217,8.70109258956428,"16S"
"68",224,8.26767820711005,"16S"
"69",221,9.15994632366428,"16S"
"70",228,8.97464229336428,"16S"
"71",211,8.76465784941907,"16S"
"72",218,7.75679595447513,"16S"
"73",729,9.25716286507661,"16S"
"74",201,9.29296851921089,"16S"
"75",208,7.54819893481843,"16S"
"76",215,8.29351413181005,"16S"
"77",222,7.89006872161843,"16S"
"78",435,8.90751937268759,"16S"
"79",442,8.75948519961841,"16S"
"80",449,9.25246768502571,"16S"
"81",456,9.06627724308756,"16S"
"82",413,8.61940138149089,"16S"
"83",404,8.9355173438419,"16S"
"84",411,8.68332740809141,"16S"
"85",418,8.77560016434191,"16S"
"86",425,6.65205422463691,"16S"
"87",708,8.86824001870131,"16S"
"88",715,9.21370026033427,"16S"
"89",722,9.3817722296058,"16S"
"90",607,9.50907762682591,"16S"
"91",614,9.40443433985471,"16S"
"92",621,9.16622490170991,"16S"
"93",628,9.47261412304521,"16S"
"94",656,9.32571389523816,"16S"
"95",434,9.03997146095641,"16S"
"96",441,8.79084196480506,"16S"
"97",448,9.20452889478149,"16S"
"98",455,9.31653742788579,"16S"
"99",505,8.74171944093978,"16S"
"100",512,9.20694338924865,"16S"
"101",519,9.22736532588198,"16S"
"102",526,8.97944479770921,"16S"
"103",511,8.9264335660567,"16S"
"104",233,8.43291711726428,"16S"
"105",240,8.46251155024536,"16S"
"106",247,9.18708360404969,"16S"
"107",430,8.90924082288396,"16S"
"108",437,9.17070988080811,"16S"
"109",232,7.32135054051907,"16S"
"110",239,8.68050083141381,"16S"
"111",253,9.62758288248121,"16S"
"112",627,9.25805878785621,"16S"
"113",613,9.33710412260096,"16S"
"114",206,7.80817745251005,"16S"
"115",213,8.44250886606428,"16S"
"116",301,9.02115697264536,"16S"
"117",229,8.80425961632466,"16S"
"118",315,9.32508637558973,"16S"
"119",322,8.88972775282041,"16S"
"120",409,8.5556371851745,"16S"
"121",629,9.54143525375441,"16S"
"122",423,8.47761094392856,"16S"
"123",650,9.63229680256541,"16S"
"124",306,9.22280529372466,"16S"
"125",432,9.18165413645426,"16S"
"126",439,8.90688327829261,"16S"
"127",530,9.41230919729508,"16S"
"128",537,9.25450076348044,"16S"
"129",544,9.60368223325235,"16S"
"130",551,9.57265376632807,"16S"
"131",513,8.97293048528123,"16S"
"132",520,9.54270495986273,"16S"
"133",527,8.85695615458967,"16S"
"134",745,9.47068155523863,"16S"
"135",752,9.59529985738864,"16S"
"136",732,9.39189268507194,"16S"
"137",739,9.75016578993778,"16S"
"138",746,9.47710575600151,"16S"
"139",753,9.1973650711609,"16S"
"140",556,9.07341766297271,"16S"
"141",713,8.63538474706274,"16S"
"142",605,9.44619915282736,"16S"
"143",619,9.31004694901616,"16S"
"144",630,9.68960383236209,"16S"
"145",644,9.79582893745161,"16S"
"146",604,9.24947812957391,"16S"
"147",611,9.45577467859586,"16S"
"148",618,9.32735644640799,"16S"
"149",625,9.23259728666701,"16S"
"150",305,9.14388899081381,"16S"
