assay,target_gene,target_group,primer_F,primer_R,process,pathway,rep_id,timepoint,location,treatment,sample,conc,Ct,gwc,pH,block,log_conc
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,56,2,Rubona,maize monoculture,308,125159.55201448513,22.9,0.11,5.45,2,5.097464
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,21,3,Rubona,Brachiaria cv. Mulato II,403,129637.6649907327,22.82,0.17,5.65,1,5.112731200000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,21,3,Rubona,Brachiaria cv. Mulato II,410,16700,25.92,0.14,5.55,2,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,21,3,Rubona,Brachiaria cv. Mulato II,417,77186.2603484229,24,0.17,5.74,3,4.88754
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,21,3,Rubona,Brachiaria cv. Mulato II,424,16700,27.88,0.15,5.35,4,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,53,5,Karama,maize monoculture,643,168655.30253887424,21.2,0.14,6.22,3,5.227
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,43,1,Rubona,Maize + Desmodium,205,83907.27170952494,23.81,0.08,5.39,1,4.923799600000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,43,1,Rubona,Maize + Desmodium,212,115134.21387750095,23.09,0.05,5.44,2,5.0612044
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,43,1,Rubona,Maize + Desmodium,219,320524.77205149765,20.76,0.04,5.39,3,5.5058616
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,43,1,Rubona,Maize + Desmodium,226,247323.8509208765,21.35,0.06,5.21,4,5.393266000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,17,5,Karama,Brachiaria cv. Mulato II,631,50400.08861079509,21.49,0.14,6.06,1,4.7024313
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,17,5,Karama,Brachiaria cv. Mulato II,645,38113.60247781135,24.72,0.16,6.15,3,4.581080000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,17,5,Karama,Brachiaria cv. Mulato II,645,40607.38284364434,24.57,0.16,6.15,3,4.608605000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,51,3,Karama,maize monoculture,429,23341.609546596057,22.84,0.12,5.88,1,4.368130799999999
