target_gene,target_group,primer_F,primer_R,process,pathway,assay
16S,bacteria,515F,806R,abundance,,1
16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,2
amoA,proteobacteria_AOB,Gamo172_F1,Gamo172_F1_R,ammonia_oxidation,nitrification,3
amoA,gamma_proteobacteria_AOB,Gamo172_F1,Gamo172_F1_R2,ammonia_oxidation,nitrification,4
amoA,gamma_proteobacteria_AOB,Gamo172_F2,Gamo172_F2_R1,ammonia_oxidation,nitrification,5
amoA,beta_proteobacteria_AOB,amoa_F1,amoA_2R,ammonia_oxidation,nitrification,6
amoA,archaea_AOA,Arch-amoAF,Arch-amoAR,ammonia_oxidation,nitrification,7
amoA,archaea_AOA,Arch-amoAFA,Arch-amoAR,ammonia_oxidation,nitrification,8
amoA,archaea_AOA,Arch-amoAFB,Arch-amoAR,ammonia_oxidation,nitrification,9
amoA,archaea_AOA,Arch-amoA-for,Arch-amoA-rev,ammonia_oxidation,nitrification,10
amoA,comammox,comaA-244F,comaA-659R,ammonia_oxidation,comammox,41
amoA,comammox,comaB-244F,comaB-659R,ammonia_oxidation,comammox,42
hao_hdh,anammox_bacteria,hzocl1F1,hzocl1R2,hydroxylamine_oxidation,nitrification,11
hao_hdh,proteobacteria_AOB,haoF4,haoR2,hydroxylamine_oxidation,nitrification,12
hzs,anammox_bacteria,hzsA_1597F,hzsA1857R,anammox,anammox,13
nxrB,proteobacteria_Nitrobacter,NxrB1F,NxrB1R,nitrite_oxidation,nitrification,14
nxrB,Nitrospirae_Nitrospira,NxrB169F,NxrB638R,nitrite_oxidation,nitrification,15
narG,bacteria,W9F,t38R,nitrate_reduction,denitrification,16
narG,bacteria,narG1960F,narG2650r,nitrate_reduction,denitrification,17
nrfA,bacteria,nrfAF2aw,nrfAR1,nitrite_reduction,ammonification,18
napA,bacteria,V66,V67,nitrate_reduction,denitrification,19
nap,bacteria,V17m,napA4R,nitrate_reduction,denitrification,20
nirS,bacteria,nirSCd3aF,nirSR3cd,nitrite_reduction,denitrification,21
nirS,bacteria,nirSC1F,nirSC1R,nitrite_reduction,denitrification,22
nirS,bacteria,nirSC2F,nirSC2R,nitrite_reduction,denitrification,23
nirS,bacteria,nirSC3F,nirSC3R,nitrite_reduction,denitrification,24
nirK,bacteria,FlaCu,R3Cu,nitrite_reduction,denitrification,25
nirK,bacteria,nirK876,nirK1040,nitrite_reduction,denitrification,26
nirK,bacteria,nirKC1F,nirKC1R,nitrite_reduction,denitrification,27
nirK,bacteria,nirKC2F,nirKC2R,nitrite_reduction,denitrification,28
nirK,bacteria,nirKC4F,nirKC4R,nitrite_reduction,denitrification,29
nirK,proteobacteria_AOB,nirK_166F,nirK_665R,nitrite_reduction,denitrification,30
nirK,fungi,nirKfF,nirKfR,nitrite_reduction,denitrification,43
norB,denitrifier,norB2,norB6,nitric_oxide_reduction,denitrification,31
norB,denitrifier,cnorB-2F,cnorB-6R,nitric_oxide_reduction,denitrification,32
norB,bacteria,qnorB2F,qnorB5R,nitric_oxide_reduction,denitrification,33
norB,bacteria,qnorB2F,qnorB7R,nitric_oxide_reduction,denitrification,34
nosZ,denitrifier_clade_I,nosZ1F,nosZ1R,nitrous_oxide_reduction,denitrification,35
nosZ,denitrifier_clade_I,nosZ-F-1181,nosZR-1880,nitrous_oxide_reduction,denitrification,36
nosZ,denitrifier_clade_II,nosZ-II-F,nosZ-II-R_,nitrous_oxide_reduction,denitrification,37
nosZ,denitrifier_clade_II,NosZ912F,NosZ853R,nitrous_oxide_reduction,denitrification,38
nifH,bacteria,nifHF,nifHR,n_fixation,n_fixation,39
nifH,bacteria,IGK3,DVV_correct,n_fixation,n_fixation,40
