gene_org,pathway,colorcode,oldcode,target_gene,target_group,primer_F,primer_R,process,assay,primer_pair
nrfA_bacteria,ammonification,#A6761D,#A6761D,nrfA,bacteria,nrfAF2aw,nrfAR1,nitrite_reduction,18,nrfAF2aw / nrfAR1
amoA_comammox,comammox,#C18C5D,#C18C5D,amoA,comammox,comaA-244F,comaA-659R,ammonia_oxidation,41,comaA-244F / comaA-659R
amoA_comammox,comammox,#C18C5D,#C18C5D,amoA,comammox,comaB-244F,comaB-659R,ammonia_oxidation,42,comaB-244F / comaB-659R
amoA_comammox,comammox,#C18C5D,#C18C5D,amoA,comammox,comaA-244F,comaA-659R,ammonia_oxidation,41,comaA-244F / comaA-659R
amoA_comammox,comammox,#C18C5D,#C18C5D,amoA,comammox,comaB-244F,comaB-659R,ammonia_oxidation,42,comaB-244F / comaB-659R
napA_bacteria,denitrification,#58A4B0,#F7FBFF,napA,bacteria,V66,V67,nitrate_reduction,19,V66 / V67
napA_bacteria,denitrification,#58A4B0,#F7FBFF,napA,bacteria,V17m,napA4R,nitrate_reduction,20,V17m / napA4R
narG_bacteria,denitrification,#A9BCD0,#DEEBF7,narG,bacteria,narG1960F,narG2650r,nitrate_reduction,17,narG1960F / narG2650r
narG_bacteria,denitrification,#A9BCD0,#DEEBF7,narG,bacteria,W9F,t38R,nitrate_reduction,16,W9F / t38R
norB_bacteria,denitrification,#012A4A,#4292C6,norB,bacteria,qnorB2F,qnorB7R,nitric_oxide_reduction,34,qnorB2F / qnorB7R
norB_bacteria,denitrification,#012A4A,#4292C6,norB,bacteria,qnorB2F,qnorB5R,nitric_oxide_reduction,33,qnorB2F / qnorB5R
norB_denitrifier,denitrification,#012A4A,#2171B5,norB,denitrifier,norB2,norB6,nitric_oxide_reduction,31,norB2 / norB6
norB_denitrifier,denitrification,#012A4A,#2171B5,norB,denitrifier,cnorB-2F,cnorB-6R,nitric_oxide_reduction,32,cnorB-2F / cnorB-6R
nirK_bacteria,denitrification,#01497C,#C6DBEF,nirK,bacteria,nirK876,nirK1040,nitrite_reduction,26,nirK876 / nirK1040
nirK_bacteria,denitrification,#01497C,#C6DBEF,nirK,bacteria,nirKC1F,nirKC1R,nitrite_reduction,27,nirKC1F / nirKC1R
nirK_bacteria,denitrification,#01497C,#C6DBEF,nirK,bacteria,FlaCu,R3Cu,nitrite_reduction,25,FlaCu / R3Cu
nirK_bacteria,denitrification,#01497C,#C6DBEF,nirK,bacteria,nirKC2F,nirKC2R,nitrite_reduction,28,nirKC2F / nirKC2R
nirK_bacteria,denitrification,#01497C,#C6DBEF,nirK,bacteria,nirKC4F,nirKC4R,nitrite_reduction,29,nirKC4F / nirKC4R
nirK_fungi,denitrification,#80CDC1,#80CDC1,nirK,fungi,nirKfF,nirKfR,nitrite_reduction,43,nirKfF / nirKfR
nirK_proteobacteria_AOB,denitrification,#2A6F97,#9ECAE1,nirK,proteobacteria_AOB,nirK_166F,nirK_665R,nitrite_reduction,30,nirK_166F / nirK_665R
nirS_bacteria,denitrification,#2C7DA0,#6BAED6,nirS,bacteria,nirSC2F,nirSC2R,nitrite_reduction,23,nirSC2F / nirSC2R
nirS_bacteria,denitrification,#2C7DA0,#6BAED6,nirS,bacteria,nirSC1F,nirSC1R,nitrite_reduction,22,nirSC1F / nirSC1R
nirS_bacteria,denitrification,#2C7DA0,#6BAED6,nirS,bacteria,nirSCd3aF,nirSR3cd,nitrite_reduction,21,nirSCd3aF / nirSR3cd
nirS_bacteria,denitrification,#2C7DA0,#6BAED6,nirS,bacteria,nirSC3F,nirSC3R,nitrite_reduction,24,nirSC3F / nirSC3R
nosZ_denitrifier_clade_I,denitrification,#61A5C2,#08519C,nosZ,denitrifier_clade_I,nosZ1F,nosZ1R,nitrous_oxide_reduction,35,nosZ1F / nosZ1R
nosZ_denitrifier_clade_I,denitrification,#61A5C2,#08519C,nosZ,denitrifier_clade_I,nosZ-F-1181,nosZR-1880,nitrous_oxide_reduction,36,nosZ-F-1181 / nosZR-1880
nosZ_denitrifier_clade_II,denitrification,#89C2D9,#08306B,nosZ,denitrifier_clade_II,NosZ912F,NosZ853R,nitrous_oxide_reduction,38,NosZ912F / NosZ853R
nosZ_denitrifier_clade_II,denitrification,#89C2D9,#08306B,nosZ,denitrifier_clade_II,nosZ-II-F,nosZ-II-R_,nitrous_oxide_reduction,37,nosZ-II-F / nosZ-II-R_
nifH_bacteria,n_fixation,#66A61E,#66A61E,nifH,bacteria,nifHF,nifHR,n_fixation,39,nifHF / nifHR
nifH_bacteria,n_fixation,#66A61E,#66A61E,nifH,bacteria,IGK3,DVV_correct,n_fixation,40,IGK3 / DVV_correct
nifH_bacteria,n_fixation,#66A61E,#66A61E,nifH,bacteria,nifHF,nifHR,n_fixation,39,nifHF / nifHR
nifH_bacteria,n_fixation,#66A61E,#66A61E,nifH,bacteria,IGK3,DVV_correct,n_fixation,40,IGK3 / DVV_correct
amoA_archaea_AOA,nitrification,#640D14,#FFFFCC,amoA,archaea_AOA,Arch-amoAFA,Arch-amoAR,ammonia_oxidation,8,Arch-amoAFA / Arch-amoAR
amoA_archaea_AOA,nitrification,#640D14,#FFFFCC,amoA,archaea_AOA,Arch-amoAFB,Arch-amoAR,ammonia_oxidation,9,Arch-amoAFB / Arch-amoAR
amoA_archaea_AOA,nitrification,#640D14,#FFFFCC,amoA,archaea_AOA,Arch-amoA-for,Arch-amoA-rev,ammonia_oxidation,10,Arch-amoA-for / Arch-amoA-rev
amoA_archaea_AOA,nitrification,#640D14,#FFFFCC,amoA,archaea_AOA,Arch-amoAF,Arch-amoAR,ammonia_oxidation,7,Arch-amoAF / Arch-amoAR
amoA_beta_proteobacteria_AOB,nitrification,#AD2831,#FFEDA0,amoA,beta_proteobacteria_AOB,amoa_F1,amoA_2R,ammonia_oxidation,6,amoa_F1 / amoA_2R
amoA_gamma_proteobacteria_AOB,nitrification,#EF6351,#FED977,amoA,gamma_proteobacteria_AOB,Gamo172_F1,Gamo172_F1_R2,ammonia_oxidation,4,Gamo172_F1 / Gamo172_F1_R2
amoA_gamma_proteobacteria_AOB,nitrification,#EF6351,#FED977,amoA,gamma_proteobacteria_AOB,Gamo172_F2,Gamo172_F2_R1,ammonia_oxidation,5,Gamo172_F2 / Gamo172_F2_R1
amoA_proteobacteria_AOB,nitrification,#F38375,#FEB24C,amoA,proteobacteria_AOB,Gamo172_F1,Gamo172_F1_R,ammonia_oxidation,3,Gamo172_F1 / Gamo172_F1_R
hao_hdh_anammox_bacteria,nitrification,#F7A399,#FD8D3C,hao_hdh,anammox_bacteria,hzocl1F1,hzocl1R2,hydroxylamine_oxidation,11,hzocl1F1 / hzocl1R2
hao_hdh_proteobacteria_AOB,nitrification,#FBC3BC,#FC4E2A,hao_hdh,proteobacteria_AOB,haoF4,haoR2,hydroxylamine_oxidation,12,haoF4 / haoR2
nxrB_Nitrospirae_Nitrospira,nitrification,#D00000,#E31A1C,nxrB,Nitrospirae_Nitrospira,NxrB169F,NxrB638R,nitrite_oxidation,15,NxrB169F / NxrB638R
nxrB_proteobacteria_Nitrobacter,nitrification,#DC2F02,#B10026,nxrB,proteobacteria_Nitrobacter,NxrB1F,NxrB1R,nitrite_oxidation,14,NxrB1F / NxrB1R
