"","assay","target_gene","target_group","primer_F","primer_R","process","pathway","rep_id","timepoint","location","treatment","sample","conc","Ct","gwc","pH","block","log_conc","log_conc_16S","conc_16S","adj_conc","adj_conc_16S","adj_log_conc","adj_log_conc_16S","truesoil","conc_truesoil","log_conc_truesoil","conc_16S_truesoil","log_conc_16S_truesoil"
"1",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,56,2,"Rubona","maize monoculture",308,125159.552014485,22.9,0.11,5.45,2,5.097464,5.0285529975,106795.510848816,1251595.52014485,1067955.10848816,6.097464,6.0285529975,0.2225,281257420.25727,8.44910398901907,239989912.019812,8.38019298651907
"2",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,21,3,"Rubona","Brachiaria cv. Mulato II",403,129637.664990733,22.82,0.17,5.65,1,5.1127312,5.8495643706094,707236.018591092,1296376.64990733,7072360.18591092,6.1127312,6.8495643706094,0.2075,312379915.64032,8.49468310328791,1704183177.32793,9.23151627389731
"3",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,21,3,"Rubona","Brachiaria cv. Mulato II",410,16700,25.92,0.14,5.55,2,4.22271647114758,5.249517111262,177630.325350091,167000,1776303.25350091,5.22271647114758,6.249517111262,0.215,38837209.3023256,7.589248015568,413093779.883932,8.61604865568241
"4",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,21,3,"Rubona","Brachiaria cv. Mulato II",417,77186.2603484229,24,0.17,5.74,3,4.88754,4.6469516440114,44355.9253618541,771862.603484229,443559.253618541,5.88754,5.6469516440114,0.2075,185990988.79138,8.26949190328791,106881747.859889,8.02890354729931
"5",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,21,3,"Rubona","Brachiaria cv. Mulato II",424,16700,27.88,0.15,5.35,4,4.22271647114758,5.0994371165456,125729.479181051,167000,1257294.79181051,5.22271647114758,6.0994371165456,0.2125,39294117.6470588,7.59432754109727,295834068.661296,8.47104818649529
"6",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,53,5,"Karama","maize monoculture",643,141014.198415665,21.67,0.14,6.22,3,5.140755,6.4178202588048,2617099.64659759,1410141.98415665,26170996.4659759,6.14926284303218,7.4178202588048,0.215,327939996.3155,8.5157943874526,6086278247.90138,9.78435180322521
"7",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,43,1,"Rubona","Maize + Desmodium",205,83907.2717095249,23.81,0.08,5.39,1,4.9237996,4.3575187938,22778.168107066,839072.717095249,227781.68107066,5.9237996,5.3575187938,0.23,182407112.412011,8.26104176831843,49517756.7544913,7.69476096211843
"8",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,43,1,"Rubona","Maize + Desmodium",212,115134.213877501,23.09,0.05,5.44,2,5.0612044,5.2857132759,193069.323966231,1151342.13877501,1930693.23966231,6.0612044,6.2857132759,0.2375,242387818.689476,8.38451079037513,406461734.66575,8.60901966627513
"9",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,43,1,"Rubona","Maize + Desmodium",219,320524.772051498,20.76,0.04,5.39,3,5.5058616,5.3172403401,207606.209970847,3205247.72051498,2076062.09970847,6.5058616,6.3172403401,0.24,667759941.773953,8.82462036262441,432512937.439264,8.63599910272441
"10",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,43,1,"Rubona","Maize + Desmodium",226,247323.850920876,21.35,0.06,5.21,4,5.393266,5.9062323444,805809.428104785,2473238.50920876,8058094.28104785,6.393266,6.9062323444,0.235,526220959.40612,8.72116814206428,1714488144.9038,9.23413448646428
"11",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,17,5,"Karama","Brachiaria cv. Mulato II",631,50400.0886107951,21.49,0.14,6.06,1,4.7024313,6.2527789555241,1789694.71461417,504000.886107951,17896947.1461417,5.7024313,7.2527789555241,0.215,117209508.397198,8.06896284442041,4162080731.66086,9.61931049994451
"12",2,"16S","archaea","Archaea-F_KO","Archaea-R_KO","abundance",NA,17,5,"Karama","Brachiaria cv. Mulato II",645,39360.4926607278,24.645,0.16,6.15,3,4.5948425,5.9681187730476,929220.479941366,393604.926607278,9292204.79941366,5.59506052569672,6.9681187730476,0.21,93715458.7160187,7.97181123529881,2212429714.14611,9.3448694826497
