sample,timepoint,treatment,location,block,log_conc_16S,conc_16S
209,1,Napier grass,Rubona,2,3.4951751532,3127.340385294083
217,1,Brachiaria cv. Mulato II,Rubona,3,5.3731904475,236151.35808065027
225,1,Desmodium distortum,Rubona,4,5.0041722087,100965.31596185818
233,1,Maize + Desmodium,Karama,1,5.1050149752000005,127354.69942896534
241,1,Napier + Desmodium,Karama,2,5.8027486778999995,634963.3782239397
249,1,Brachiaria + Desmodium,Karama,3,5.144686575,139536.09826893598
301,2,maize monoculture,Rubona,1,5.6596462296,456716.0033789544
317,2,Brachiaria cv. Mulato II,Rubona,3,5.5509203766,355566.1232227537
325,2,Desmodium distortum,Rubona,4,5.2873083795,193779.7447454414
202,1,Napier grass,Rubona,1,5.3786122151999995,239117.97006092142
210,1,Brachiaria cv. Mulato II,Rubona,2,4.9744145474999995,94278.90884694355
218,1,Desmodium distortum,Rubona,3,4.4334895641,27132.484532340288
226,1,Maize + Desmodium,Rubona,4,5.9062323444,805809.4281047852
234,1,Napier + Desmodium,Karama,1,5.970179097,933639.2412485665
242,1,Brachiaria + Desmodium,Karama,2,5.7722832555,591947.5882903072
318,2,Desmodium distortum,Rubona,3,3.8337834285000003,6819.985141924607
326,2,Maize + Desmodium,Rubona,4,5.9146198428,821523.2194494434
203,1,Brachiaria cv. Mulato II,Rubona,1,4.874047142999999,74825.07192939063
211,1,Desmodium distortum,Rubona,2,5.4130178604,258831.93578329418
219,1,Maize + Desmodium,Rubona,3,5.3172403401,207606.20997084674
227,1,Napier + Desmodium,Rubona,4,5.8033587258,635855.929885337
235,1,Brachiaria + Desmodium,Karama,1,5.460128875500001,288488.74572556664
243,1,maize monoculture,Karama,3,5.6990035623,500038.6365265111
303,2,Brachiaria cv. Mulato II,Rubona,1,5.8517452956,710796.5244694168
319,2,Maize + Desmodium,Rubona,3,5.5658335389,367987.9002140668
327,2,Napier + Desmodium,Rubona,4,5.7407852412,550535.3891064754
204,1,Desmodium distortum,Rubona,1,4.9346690025,86033.77958747224
212,1,Maize + Desmodium,Rubona,2,5.2857132759,193069.32396623126
220,1,Napier + Desmodium,Rubona,3,5.557028778299999,360602.5373712376
228,1,Brachiaria + Desmodium,Rubona,4,5.6467401512999995,443343.30173532775
236,1,maize monoculture,Karama,2,5.9732055684,940168.2232951431
304,2,Desmodium distortum,Rubona,1,5.9308455324,852796.7417651637
320,2,Napier + Desmodium,Rubona,3,5.065446370499999,116264.29714420042
328,2,Brachiaria + Desmodium,Rubona,4,5.777567696399999,599194.3317802263
205,1,Maize + Desmodium,Rubona,1,4.3575187938,22778.168107065983
213,1,Napier + Desmodium,Rubona,2,5.114606724,130198.72280323257
221,1,Brachiaria + Desmodium,Rubona,3,5.8320441816,679272.7328036195
229,1,maize monoculture,Karama,1,5.457472130099999,286729.3367386717
237,1,Napier grass,Karama,2,5.8220959113,663889.6702170846
245,1,Brachiaria cv. Mulato II,Karama,3,5.922624410699999,836805.2778712842
305,2,Maize + Desmodium,Rubona,1,5.787341667300001,612832.3283689567
321,2,Brachiaria + Desmodium,Rubona,3,5.7182610051,522710.2363911837
206,1,Napier + Desmodium,Rubona,1,4.4756304054,29897.192337830584
214,1,Brachiaria + Desmodium,Rubona,2,5.3763859365,237895.34083994728
222,1,maize monoculture,Rubona,4,4.5528265533,35713.018052032756
230,1,Napier grass,Karama,1,5.5272948852,336740.13773745176
238,1,Brachiaria cv. Mulato II,Karama,2,4.7813700393000005,60446.34412705145
306,2,Napier + Desmodium,Rubona,1,5.8760178075,751653.7136570718
322,2,maize monoculture,Rubona,4,5.5231962084,333577.0843607251
207,1,Brachiaria + Desmodium,Rubona,1,4.8146453793,65259.746026946916
215,1,maize monoculture,Rubona,3,4.960967084699999,91404.3963197881
223,1,Napier grass,Rubona,4,5.328947449799999,213278.68275385274
